unit_code,unit_title,level,session,category,evidence_item_count,has_evidence,source_url
INFS3600,Business Information Systems in Practice,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,6,Yes,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,Business Information Systems in Practice,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,Business Information Systems in Practice,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,Business Information Systems in Practice,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,Business Information Systems in Practice,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS3600,Business Information Systems in Practice,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,2,Yes,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
INFS5002,Foundation in Business Information Systems,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,1,Yes,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,Foundation in Business Information Systems,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,4,Yes,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,Foundation in Business Information Systems,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,Foundation in Business Information Systems,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,Foundation in Business Information Systems,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,Foundation in Business Information Systems,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS5002,Foundation in Business Information Systems,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,0,No,https://www.sydney.edu.au/units/INFS5002/2026-S2C-ND-CC
INFS6002,Strategic Information Systems Sourcing,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,Strategic Information Systems Sourcing,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,2,Yes,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,Strategic Information Systems Sourcing,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,Strategic Information Systems Sourcing,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,Strategic Information Systems Sourcing,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,Strategic Information Systems Sourcing,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6002,Strategic Information Systems Sourcing,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,5,Yes,https://www.sydney.edu.au/units/INFS6002/2026-S2C-ND-CC
INFS6004,Digital Business Transformation,PG,"Semester 1, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6004,Digital Business Transformation,PG,"Semester 1, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,0,No,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6004,Digital Business Transformation,PG,"Semester 1, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6004,Digital Business Transformation,PG,"Semester 1, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6004,Digital Business Transformation,PG,"Semester 1, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6004,Digital Business Transformation,PG,"Semester 1, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6004,Digital Business Transformation,PG,"Semester 1, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,2,Yes,https://www.sydney.edu.au/units/INFS6004/2026-S1C-NE-CC
INFS6012,Digital Information Infrastructures,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,1,Yes,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,Digital Information Infrastructures,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,4,Yes,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,Digital Information Infrastructures,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,Digital Information Infrastructures,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,Digital Information Infrastructures,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,Digital Information Infrastructures,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6012,Digital Information Infrastructures,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,2,Yes,https://www.sydney.edu.au/units/INFS6012/2026-S1C-ND-CC
INFS6015,Business Process Management,PG,"Semester 2, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6015,Business Process Management,PG,"Semester 2, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,1,Yes,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6015,Business Process Management,PG,"Semester 2, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6015,Business Process Management,PG,"Semester 2, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6015,Business Process Management,PG,"Semester 2, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6015,Business Process Management,PG,"Semester 2, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6015,Business Process Management,PG,"Semester 2, 2026 [Normal evening] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,2,Yes,https://www.sydney.edu.au/units/INFS6015/2026-S2C-NE-CC
INFS6016,Digital Business Models,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,2,Yes,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,Digital Business Models,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,7,Yes,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,Digital Business Models,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,Digital Business Models,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,Digital Business Models,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,Digital Business Models,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6016,Digital Business Models,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,0,No,https://www.sydney.edu.au/units/INFS6016/2026-S1C-ND-CC
INFS6018,Managing with Information and Data,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,1,Yes,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,Managing with Information and Data,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,3,Yes,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,Managing with Information and Data,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,Managing with Information and Data,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,Managing with Information and Data,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,Managing with Information and Data,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6018,Managing with Information and Data,PG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,0,No,https://www.sydney.edu.au/units/INFS6018/2026-S1C-ND-CC
INFS6023,Data Visualisation for Managers,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,2,Yes,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
INFS6023,Data Visualisation for Managers,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,4,Yes,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
INFS6023,Data Visualisation for Managers,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
INFS6023,Data Visualisation for Managers,PG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS6023/2026-S2C-ND-CC
